question_id;question;answer;category;type;points
74;"Welcher große Fluss in Süddeutschland reimt sich auf ""Gronau""?";Donau;Geographie;Schnellfrage;100
75;Wie nennt man das Schärfen von Klingenstahl durch Schleifen?;Wetzen;Allgemeinwissen;Frage;200
76;In welcher Disziplin wurde Hartwig Gauder 1980 DDR-Olympiasieger?;Gehen;Sport;Frage;400
77;Wie heißt die höchste antike Pyramide der Welt?;Cheops-Pyramide;Geographie;Frage;200
78;Wird überhöhte Geschwindigkeit im Straßenverkehr geahndet, ist sie entweder eine Straftat oder...?;Ordnungswidrigkeit;Straßenverkehr;Frage;100
79;Mit einem Alter von über 40 Jahren ist welcher Peruaner seit 2019 der älteste Torschütze der Fußballbundesliga?;Claudio Pizarro;Sport;Frage;500
80;Welcher etwas über 100 Kilometer lange Fluss entspringt in Gießelrade und mündet bei Lübeck in die Ostsee?;Trave;Geographie;Frage;400
81;SDAX und MDAX sind Aktienindizes welches Landes?;Deutschland;Allgemeinwissen;Frage;100
82;Das barocke Taschenbergpalais steht neben dem Residenzschloss welcher sächsischen Stadt?;Dresden;Geographie;Frage;500
83;Welcher vom Aussterben bedrohte Schwanzlurch lebt im mexikanischen Xochimilco-See?;Axolotl;Tiere;Frage;300
84;Wer wurde im Februar 2022 im Paul-Löbe-Haus als Bundespräsident wiedergewählt?;Frank-Walter Steinmeier;Politik;Frage;200
85;In welchem Film verkleidet sich Robin Williams als Haushälterin, um bei seinen Kindern sein zu können?;Mrs. Doubtfire;Filme;Frage;200
86;"Wofür steht das ""R"" in QR-Code?";Response;Technik;Frage;300
87;Welches Nachbarland von Rumänien war Co-Gastgeber der Handball-EM 2022?;Ungarn;Sport;Frage;300
88;"Welche Kurzbezeichnung für ""Kugelschreiber"" steckt im Wort ""Kulisse""?";Kuli;Allgemeinwissen;Schnellfrage;100
89;Welches Sinnesorgan reagiert bei Berührung mit dem Blinzelreflex?;Auge;Biologie;Frage;200
90;Für welches Land spielt Gareth Bale, der ehemals teuerste Fußballspieler aller Zeiten?;Wales;Sport;Frage;500
91;H2SO4 lautet die Summenformel für welche chemische Verbindung?;Schwefelsäure;Naturwissenschaften;Frage;300
92;Als Namensgeber der Insel Grönland gilt welcher berühmte Wikinger?;Erich der Rote, Erik der Rote;Geschichte;Frage;400
93;"Welcher über 1.200 Kilometer lange Fluss reimt sich auf ""Wein""?";Rhein;Deutschland;Schnellfrage;100
94;Wie nennt man eine Schaufel mit geradem Blatt zum Graben von Löchern?;Spaten;Allgemeinwissen;Frage;100
95;In welcher Wintersportart wurde Antje Misersky 1992 die erste deutsche Olympiasiegerin?;Biathlon;Sport;Frage;500
96;Welche Mauer wurde 1987 zum UNESCO-Weltkulturerbe erklärt?;Chinesische Mauer, Große Mauer;Geographie;Frage;200
97;Wie werden umgangssprachlich durch Wohnraumförderung entstandene Wohnungen mit Mietpreisbegrenzung genannt?;Sozialwohnungen, Sozialbau(ten);Allgemeinwissen;Frage;200
98;Welcher EM-Rekordchampion gewann mit Borussia Düsseldorf 2022 zum zwölften Mal die deutsche Tischtennis-Meisterschaft?;Timo Boll;Sport;Frage;400
99;An welchem Fluss haben die Länder Sambia, Namibia und Botswana eine gemeinsame Grenze?;Sambesi(-River);Geographie;Frage;300
100;Hongkong ist eine Sonderverwaltungszone welches Landes?;China;Politik;Frage;100
101;"""In der Strafkolonie"" ist eine der bekanntesten Erzählungen von Franz ...?";Kafka;Autoren;Frage;100
102;Das Royal Liver Building ist eines der Wahrzeichen welcher englischen Hafenstadt?;Liverpool;Kultur;Frage;200
103;Wie heißt die Amtsbezeichnung der Regierungschefs der meisten Bundesländer?;Ministerpräsident(in);Politik;Frage;100
104;"Welches Wort reimt sich auf ""Bibel"" und meint das Lesebuch für den Anfangsunterricht?";Fibel;Kultur;Frage;300
105;Welche ehemalige Kaiserstadt gilt als das kulturelle Herz Japans?;Kyoto;Geographie;Frage;100
106;"Wie heißt Friedrich Dürrenmatts todkranker Kommissar aus ""Der Richter und sein Henker""?";Hans Bärlach;Bücher;Frage;300
107;Sind weitere Fragen unerwünscht, sagt man redensartlich: Frag nicht nach Sonnen-...?;Schein, Sonnenschein;Wörter;Frage;200
108;In welchem Film sorgte Graf Orlok 1922 für Grusel beim Kinopublikum?;Nosferatu, Nosferatu - Eine Symphonie des Grauens;Filme;Frage;200
109;Welcher Schöpfergott ist in der griechischen Mythologie die Personifizierung der Zeit?;Chronos;Mythologie;Frage;300
110;Was liegt zwischen Schleswig und Ostsee und gilt als Deutschlands längste Förde?;Schlei;Deutschland;Frage;200
111;Wie nennt man den Gleichklang der Zeilenenden in einem Gedicht?;Reim;Wörter;Frage;100
112;Welches Land ist die Hüterin der Meerengen Bosporus und Dardanellen?;Türkei;Geographie;Frage;300
113;Wer entwarf die Bill of Rights und war von 1809 bis 1817 der vierte Präsident der Vereinigten Staaten?;James Madison;Politik;Frage;400
114;Welches elektrische Tischgerät hat ein rotierendes Flügelrad und erzeugt nicht nur dem Namen nach Wind?;Ventilator;Technik;Frage;200
115;Die Kreiszahl Pi lernt man in welchem Schulfach kennen?;Mathematik;Allgemeinwissen;Schnellfrage;100
116;Die kleinen Kerne einer reifen, handelsüblichen Kiwi haben welche Farbe?;Schwarz;Biologie;Frage;200
117;Wer war letzter Kaiser von Abessinien und gilt Rastafaris als wiedergekehrter Messias?;Haile Selassie;Geschichte;Frage;500
118;Bei welcher Wassersport-Disziplin werden Tore erzielt?;Wasserball;Sport;Frage;100
119;Welche Anstalt wurde früher im deutschen Strafrecht offiziell als Gefängnis bezeichnet?;Justizvollzugsanstalt, Strafanstalt;Allgemeinwissen;Frage;200
120;Welches Tschaikowski-Ballett heißt wie ein Märchen der Gebrüder Grimm?;Dornröschen;Kultur;Frage;300
121;Wie heißt die 1952 eingeführte Währung von Laos?;Kip, Laotischer Kip;Geschichte;Frage;400
122;Wie heißt die bevölkerungsreichste Stadt Schleswig-Holsteins?;Kiel;Deutschland;Frage;200
123;Wie lautet die offizielle Amtsbezeichnung für den deutschen Regierungschef?;Bundeskanzler(in);Politik;Frage;100
124;"Welche ""Füßchen"" lernt man in der Grundschule im Deutschunterricht richtig zu setzen?";Gänsefüßchen;Wörter;Frage;100
125;Seit 1821 besteht das Erzbistum München und ...?;Freising;Kultur;Frage;300
126;Welche Kinderbuchfigur von Michael Ende heißt eigentlich Prinz Myrrhen?;Jim Knopf;Bücher;Frage;200
127;Überredet man jemanden zu etwas Unsinnigem, dann setzt man ihm redensartlich Flausen in den ...?;Kopf;Wörter;Frage;100
128;Welcher Film mit John Travolta löste 1977 die Disco-Welle mit aus?;Saturday Night Fever;Filme;Frage;100
129;In der griechischen Mythologie wachsen Prometheus immer wieder Teile welches Organs neu nach?;Leber;Mythologie;Frage;200
130;Welcher Fluss entspringt im Riesengebirge und mündet in die Nordsee?;Elbe;Geographie;Frage;200
131;Wie nennt man eine Gruppe von Bergen?;Gebirge, Gebirgskette, Bergkette;Geographie;Frage;100
132;In welchem Land sitzen fast 3.000 Abgeordnete im Nationalen Volkskongress?;China;Politik;Frage;200
133;In wie vielen Ländern oder Gebieten fährt man auf der linken Straßenseite?;69;Straßenverkehr;Schätzfrage;400
134;Welche Berühmtheit kam am 2. Oktober 1869 im Fürstentum Porbandar zur Welt, das heute zu Indien gehört?;Mahatma Gandhi, Mohandas Karamchand Gandhi;Geschichte;Frage;200
135;"Welches in die Jahre gekommene Kommunikationsgerät kürzt man häufig ""AB"" ab?";Anrufbeantworter;Technik;Frage;100
136;Den Massenerhaltungssatz lernt man in welchem Schulfach kennen?;Chemie;Allgemeinwissen;Frage;100
137;Durch den Pflanzenfarbstoff Anthocyan haben Heidelbeeren welche Farbe?;Blau;Biologie;Frage;300
138;Welche allegorische Frauenfigur ist die Versinnbildlichung der Schweiz?;Helvetia;Allgemeinwissen;Frage;200
139;Bei welcher Wassersport-Disziplin fällt man tief?;Wasserspringen, Turm(-springen), Brett(-springen), Synchronspringen;Sport;Frage;100
140;"In welchem Shakespeare-Drama heißt es: ""Ein Pferd! Ein Pferd! Mein Königreich für ein Pferd""?";Richard III.;Kultur;Frage;400
141;Der Guaraní ist seit 1943 die Währung welches südamerikanischen Landes?;Paraguay;Geschichte;Frage;300
142;Der Müggelsee ist der größte See welcher Großstadt?;Berlin;Deutschland;Frage;200
143;Welche Zeile steht losgelöst vom Haupttext am oberen Rand der Seite?;Kopfzeile;Allgemeinwissen;Frage;200
144;Welche Farbe hat Grönland laut Namen?;Grün;Geographie;Frage;100
145;Für welche Spirituose ist die Karibik bekannt, weil sie dort traditionell hergestellt wird?;Rum;Kultur;Frage;100
146;Welchem Karim gelang im März 2022 als ältestem Spieler der UEFA-Champions-League-Geschichte ein Hattrick?;Benzema;Sport;Frage;300
147;Welches giftige, stechend riechende Gas besteht aus Molekülen mit drei Wasserstoffatomen und einem Stickstoffatom?;Ammoniak;Naturwissenschaften;Frage;200
148;Wie lautet das Kfz-Kennzeichen für die östlichste Millionenstadt Deutschlands?;B;Straßenverkehr;Schnellfrage;100
149;Wie nennt man die Wohnung eines Dachses?;Bau, Dachsbau;Tiere;Frage;100
150;Das Parlament welches Landes von Großbritannien hat seinen Sitz in Holyrood?;Schottland;Politik;Frage;200
151;Die drei Schichten der menschlichen Haut sind die Epidermis, die Dermis und die ...?;Hypodermis, Unterhaut, Subcutis;Biologie;Frage;400
152;"Welches Kirchenoberhaupt führt den Ehrentitel ""Primas von Italien""?";Papst, Bischof von Rom;Allgemeinwissen;Frage;200
153;"""Unterleuten"" heißt ein Roman der Schriftstellerin Juli ...?";Zeh;Bücher;Frage;300
154;In welchem baltischen Land fanden 2022 die Eiskunstlauf-Europameisterschaften statt?;Estland;Sport;Frage;300
155;Welches südamerikanische Land besitzt eine Karibik- und eine Pazifikküste?;Kolumbien;Geographie;Frage;200
156;Welche Tiere sind die einzigen, die man laut Straßenverkehrsordnung vom Fahrrad aus führen darf?;Hunde;Straßenverkehr;Frage;100
157;"In welcher der drei Silben des Wortes ""Libyen"" steckt der Buchstabe ""i""?";Erste Silbe, In der ersten Silbe;Wörter;Schnellfrage;100
158;In welcher Landeshauptstadt steht am Rindermarkt mit eindrucksvoller Fassade das Ruffinihaus?;München;Deutschland;Frage;200
159;"""Alles ist eins. Außer der 0"" ist eine 2021 erschienene Dokumentation über welchen Club?";Chaos Computer Club, CCC;Informatik;Frage;200
160;"Trifft eine Lieferung im Moment des Bedarfs ein, heißt das in der Logistik ""Just in ...""?";Time;Wörter;Frage;100
161;Wie wird die freiwillige jährliche Überprüfung eines Autos in einer Werkstatt genannt?;Inspektion, Jahresinspektion;Straßenverkehr;Frage;200
162;Welches westafrikanische Land ist das bevölkerungsreichste Afrikas?;Nigeria;Geographie;Frage;100
163;Welches Land heißt wie ein Kontinent?;Australien;Geographie;Frage;100
164;Ein Kaffee Gloria enthält einen Schuss welches französischen Weinbrands?;Cognac;Allgemeinwissen;Frage;300
165;Welchem Robert gelang im März 2022 der früheste Hattrick der UEFA-Champions-League-Geschichte?;Lewandowski;Sport;Frage;200
166;"Die Buchstaben ""Md"" stehen im Periodensystem für welches nach einem Wissenschaftler benannte Element?";Mendelevium;Naturwissenschaften;Frage;400
167;Wie lautet das Kfz-Kennzeichen für die südlichste unserer Millionenstädte?;M;Straßenverkehr;Schnellfrage;100
168;Wie heißt die im Gewebe von Pflanzen enthaltene Flüssigkeit?;Saft, Pflanzensaft, Zellsaft;Biologie;Frage;200
169;In welcher Straße in Berlin residiert die Botschaft der Russischen Föderation?;Unter den Linden;Geographie;Frage;300
170;Wie lautet der medizinische Fachausdruck für den Hexenschuss?;Lumbago, Lumbalgie;Biologie;Frage;300
171;Wer heilte laut Neuem Testament zwei Blinde durch Handauflegen?;Jesus Christus;Kultur;Frage;100
172;"Welcher Stuhl heißt im Englischen ""wheelchair""?";Rollstuhl, Kranken(fahr)stuhl;Sprachen;Frage;100
173;Der Schneefernerkopf liegt deutschlandseitig in welchem Bundesland?;Bayern;Deutschland;Frage;100
174;Das Mailänder Toleranzedikt wurde im Jahre 313 erlassen von Kaiser Licinius und welchem anderen Kaiser?;Konstantin (I.) (der Große);Geschichte;Frage;300
175;Welcher Fußballclub wurde nach 1984 2022 erneut türkischer Meister?;Trabzonspor;Sport;Frage;500
176;Diesel, Super und Kerosin gehören zu den Treib-...?;Stoffen;Straßenverkehr;Frage;200
177;"Den Schlagerhit ""Unendlich"" singt Vanessa Mai im Duett mit Andrea ...?";Berg;Musik;Frage;100
178;Welches 81 Meter hohe Denkmal befindet sich nördlich von Bad Frankenhausen?;Kyffhäuser(-Denkmal), Kaiser-Wilhelm-Denkmal;Deutschland;Frage;400
179;In welchem europäischen Land teilen sich zwei Kofürsten das Amt des Staatsoberhaupts?;Andorra;Politik;Frage;300
180;Was müssen Kinder ausziehen, damit sie in einer Hüpfburg spielen dürfen?;Schuhe;Allgemeinwissen;Frage;100
181;Wie nennt man in der Landwirtschaft die zum Säen vorgesehene Menge von Samenkörnern?;Saat, Saatgut, Aussaat, Einsaat;Landwirtschaft;Frage;200
182;Aus welchem antiken Reich ging das Byzantinische Reich übergangslos hervor?;Rom, Römisches Reich;Geschichte;Frage;200
183;Welche norwegische Fußballerin war Anfang 2022 Rekordtorschützin der UEFA Champions League?;Ada Hegerberg;Sport;Frage;400
184;Durch welchen berühmten Canyon in Arizona fließt der Colorado River?;Grand Canyon;Geographie;Frage;100
185;"Das Museum ""Uffizien"" in Florenz entstand aus der privaten Kunstsammlung welcher Familie?";Medici;Kunst;Frage;500
186;Welche Körperteile zeigt das Wappen in der Staatsflagge von Brunei Darussalam?;Unterarm, Hand, Hände, Arme;Kultur;Frage;400
187;"Welche Oscar-Preisträgerin spielt im Actionthriller ""Bullet Train"" die Auftraggeberin Maria Beetle?";Sandra Bullock;Hollywood;Frage;300
188;"Welche Hauptfigur aus ""Der Herr der Ringe"" hat den Beinamen Graurock?";Gandalf;Filme;Frage;200
189;Als was für einen Laden bezeichnet man redensartlich einen schlecht geführten Betrieb?;Saftladen;Wörter;Frage;100
190;An welches EU-Land grenzt Schleswig-Holstein?;Dänemark;Geographie;Frage;100
191;Das UNESCO-Welterbe Markgräfliches Opernhaus steht in welcher Stadt?;Bayreuth;Kultur;Frage;200
192;"Welches Dokument wird auch ""der letzte Wille"" genannt?";Testament;Allgemeinwissen;Frage;200
193;In welchem Bundesland liegt das Harz-Städtchen Quedlinburg?;Sachsen-Anhalt;Deutschland;Frage;200
194;Wie wurde Erzherzogin Maria Antonia von Österreich nach ihrer Hochzeit  im Jahr 1770 genannt?;Marie Antoinette;Geschichte;Frage;200
195;Welches Team um Superstar Stephen Curry wurde 2022 zum vierten Mal binnen acht Jahren NBA-Champion?;Golden State Warriors;Sport;Frage;300
196;Fotovoltaik-Anlagen wandeln Sonnenlicht in welche Energie um?;Strom, Elektrische Energie;Technik;Frage;100
197;"Das Debütalbum ""In meinem Kopf"" veröffentlichte 2022 ein Sohn des Schlagersängers Matthias ...?";Reim;Musik;Frage;200
198;"Im Jahr 1238 begann Sultan Muhammad I. in Granada mit dem Bau welcher ""roten Burg""?";Alhambra;Geschichte;Frage;500
199;Welches Land bezeichnet sich selbst als Haschemitisches Königreich?;Jordanien, Haschemitisches Königreich Jordanien;Kultur;Frage;400
200;Welchen Körperteil berührt die Queen beim Ritterschlag mit der flachen Klinge des Schwerts?;Schulter;Kultur;Schnellfrage;100
201;Wie nennt man in der Landwirtschaft einen Acker, der nicht bebaut wird, damit sich der Boden erholt?;Brachland, Brache;Landwirtschaft;Frage;200
202;Der Investiturstreit des 11. Jahrhunderts war ein Konflikt zwischen dem deutschen Kaiser und dem ...?;Papst (Gregor VII.), Heilgen Stuhl, Vatikan, Oberhaupt der katholischen Kirche;Geschichte;Frage;300
203;Welche Australierin gewann 2022 bei den Australian Open das Tennis-Finale der Damen?;Ashleigh Barty;Sport;Frage;200
204;Wie heißt der einzige US-Bundesstaat, der nicht auf dem nordamerikanischen Festland liegt?;Hawaii;Geographie;Frage;100
205;"Das Ölgemälde ""Porträt von Jacqueline"" stellt die zweite Ehefrau welches weltberühmten Malers dar?";Pablo Picasso;Kunst;Frage;200
206;Was für ein Fortbewegungsmittel ist auf dem Stadtwappen von Paris zu sehen?;Schiff, Segelschiff;Kultur;Frage;200
207;Mit Vor- und Nachteilen ist etwas redensartlich zugleich Fluch und ...?;Segen;Wörter;Frage;200
208;Die wichtigsten Werkzeuge zum Frisieren sind Schere und welches Instrument mit Zinken?;Kamm;Allgemeinwissen;Frage;100
209;"Welche Rolle spielt Sean Connery im Film ""Goldfinger""?";James Bond, Geheimagent;Filme;Frage;200
210;Die zum Weltkulturerbe zählende Villa Tugendhat entwarf Ludwig Mies ...?;van der Rohe;Kultur;Frage;300
211;Eines der berühmtesten Paare der Bibel bilden Eva und ...?;Adam;Kultur;Frage;100
212;"Welche Ilka erfand die Kunstfigur ""Cindy aus Marzahn""?";Bessin;Personen;Frage;200
213;Ihren Ehemann bezeichnen einige Frauen scherzhaft als ihren Götter-...?;Gatten;Wörter;Frage;200
214;Welchem Königshaus entstammte Königin Elisabeth I.?;Tudor;Kultur;Frage;200
215;Das höchste Gebäude der USA steht in welcher Stadt?;New York City;Geographie;Frage;200
216;"Mit ""You can dance, you can jive"" beginnt welcher ABBA-Song?";Dancing Queen;Musik;Frage;100
217;Von welchem Fisch stammt der luxuriöse Beluga-Kaviar?;Stör, Beluga-Stör, Europäischer Hausen;Tiere;Frage;200
218;Ein Lulatsch ist oft schlaksig und immer ganz besonders ...?;groß, lang;Wörter;Frage;200
219;"Der Ausdruck ""la dolce vita"" geht zurück auf einen Film des Regisseurs Federico ...?";Fellini;Personen;Frage;300
220;In Gestalt welches Tieres entführt in der griechischen Mythologie Zeus die Prinzessin Europa?;Stier;Mythologie;Frage;300
221;Wie heißt der höchste Berg des gesamten amerikanischen Kontinents?;Aconcagua, Cerro Aconcagua;Geographie;Frage;200
222;Welche Farbe haben pflückreife Wald-Himbeeren?;Rot;Landwirtschaft;Frage;100
223;Wie nennt man schlechtes Latein und auch den Fachjargon der Gastronomie?;Küchenlatein;Sprachen;Frage;200
224;"""Was im Verborgenen ruht"" heißt ein 2022 erschienener Inspector-Lynley-Krimi der Bestseller-Autorin Elizabeth ...?";George, Elizabeth George;Autoren;Frage;300
225;Wer eine schwache Leistung abliefert, der hat sich redensartlich nicht mit Ruhm ...?;bekleckert;Wörter;Frage;200
226;Welche elastischen Hohlkörper sind dank Helium auf Feierlichkeiten farbige Hingucker?;Ballons, Luftballons;Wörter;Frage;100
227;"Welche Rolle spielt Harrison Ford in den ""Star Wars""-Filmen?";Han Solo, Raumschiffkapitän;Filme;Frage;200
228;Als bedeutendster Baumeister des deutschen Klassizismus gilt Karl Friedrich ...?;Schinkel;Personen;Frage;400
229;"Welcher Messias wird auch ""der Nazarener"" genannt?";Jesus (Christus);Kultur;Frage;100
230;"Welche Sylvie moderiert seit 2021 die Datingshow ""Love Island""?";Meis;Personen;Frage;100
231;"Statt ""zuletzt, aber nicht am unwichtigsten"" sagt man meist knapp: ""last but not ...""?";least;Wörter;Frage;100
232;In welcher TV-Show stellten fünf Schweizer einen fast neun Tonnen schweren Lkw auf vier Biergläser?;Wetten, dass..?;Deutschland;Frage;300
233;Welche Wache ist ein anderes Wort für das Spritzenhaus?;Feuerwache;Kultur;Frage;200
