ID,question,answer,category,type,points
87,Wie heißt die höchste antike Pyramide der Welt?,Cheops-Pyramide,Geographie,Frage,200
88,"Wird überhöhte Geschwindigkeit im Straßenverkehr geahndet, ist sie entweder eine Straftat oder...?",Ordnungswidrigkeit,Straßenverkehr,Frage,100
89,Mit einem Alter von über 40 Jahren ist welcher Peruaner seit 2019 der älteste Torschütze der Fußballbundesliga?,Claudio Pizarro,Fußball,Frage,500
90,Welcher etwas über 100 Kilometer lange Fluss entspringt in Gießelrade und mündet bei Lübeck in die Ostsee?,Trave,Geographie,Frage,400
91,SDAX und MDAX sind Aktienindizes welches Landes?,Deutschland,Wirtschaft,Frage,100
93,Das barocke Taschenbergpalais steht neben dem Residenzschloss welcher sächsischen Stadt?,Dresden,Geographie,Frage,500
94,Welcher vom Aussterben bedrohte Schwanzlurch lebt im mexikanischen Xochimilco-See?,Axolotl,Tiere,Frage,300
95,Wer wurde im Februar 2022 im Paul-Löbe-Haus als Bundespräsident wiedergewählt?,Frank-Walter Steinmeier,Politik,Frage,200
96,"In welchem Film verkleidet sich Robin Williams als Haushälterin, um bei seinen Kindern sein zu können?",Mrs. Doubtfire,Filme,Frage,200
97,"Wofür steht das ""R"" in QR-Code?",Response,Technik,Frage,300
98,Welches Nachbarland von Rumänien war Co-Gastgeber der Handball-EM 2022?,Ungarn,Sport,Frage,300
99,"Welche Kurzbezeichnung für ""Kugelschreiber"" steckt im Wort ""Kulisse""?",Kuli,Allgemeinwissen,Schnellfrage,100
100,Welches Sinnesorgan reagiert bei Berührung mit dem Blinzelreflex?,Auge,Biologie,Frage,
101,"Für welches Land spielt Gareth Bale, der ehemals teuerste Fußballspieler aller Zeiten?",Wales,Sport,Frage,
102,H2SO4 lautet die Summenformel für welche chemische Verbindung?,Schwefelsäure,Chemie,Frage,
103,Als Namensgeber der Insel Grönland gilt welcher berühmte Wikinger?,"Erich der Rote, Erik der Rote",Geschichte,Frage,
104,"Welcher über 1.200 Kilometer lange Fluss reimt sich auf ""Wein""?",Rhein,Deutschland,Schnellfrage,
106,Wie nennt man eine Schaufel mit geradem Blatt zum Graben von Löchern?,Spaten,Allgemeinwissen,Frage,100
107,In welcher Wintersportart wurde Antje Misersky 1992 die erste deutsche Olympiasiegerin?,Biathlon,Sport,,
108,Welche Mauer wurde 1987 zum UNESCO-Weltkulturerbe erklärt?,"Chinesische Mauer, Große Mauer",Geographie,,
109,Wie werden umgangssprachlich durch Wohnraumförderung entstandene Wohnungen mit Mietpreisbegrenzung genannt?,"Sozialwohnungen, Sozialbau(ten)",Allgemeinwissen,,
110,Welcher EM-Rekordchampion gewann mit Borussia Düsseldorf 2022 zum zwölften Mal die deutsche Tischtennis-Meisterschaft?,Timo Boll,Sport,,
111,"An welchem Fluss haben die Länder Sambia, Namibia und Botswana eine gemeinsame Grenze?",Sambesi(-River),Geographie,,
112,Hongkong ist eine Sonderverwaltungszone welches Landes?,China,Politik,,
113,"""In der Strafkolonie"" ist eine der bekanntesten Erzählungen von Franz ...?",Kafka,Autoren,,
114,Das Royal Liver Building ist eines der Wahrzeichen welcher englischen Hafenstadt?,Liverpool,Kultur,,
115,Wie heißt die Amtsbezeichnung der Regierungschefs der meisten Bundesländer?,Ministerpräsident(in),Politik,,
116,"Welches Wort reimt sich auf ""Bibel"" und meint das Lesebuch für den Anfangsunterricht?",Fibel,Kultur,,
117,Welche ehemalige Kaiserstadt gilt als das kulturelle Herz Japans?,Kyoto,Geographie,,
118,"Wie heißt Friedrich Dürrenmatts todkranker Kommissar aus ""Der Richter und sein Henker""?",Hans Bärlach,Bücher,,
119,"Sind weitere Fragen unerwünscht, sagt man redensartlich: Frag nicht nach Sonnen-...?","Schein, Sonnenschein",Wörter,,
120,In welchem Film sorgte Graf Orlok 1922 für Grusel beim Kinopublikum?,"Nosferatu, Nosferatu - Eine Symphonie des Grauens",Filme,,
121,Welcher Schöpfergott ist in der griechischen Mythologie die Personifizierung der Zeit?,Chronos,Mythologie,,
122,Was liegt zwischen Schleswig und Ostsee und gilt als Deutschlands längste Förde?,Schlei,Deutschland,,
123,Wie nennt man den Gleichklang der Zeilenenden in einem Gedicht?,Reim,Wörter,,
124,Welches Land ist die Hüterin der Meerengen Bosporus und Dardanellen?,Türkei,Geographie,,
125,"Die Kommissare im ersten Kino-""Tatort"" ""Zahn um Zahn"" waren Christian Thanner und Horst ...?",Schimanski,Filme,,
126,Wer entwarf die Bill of Rights und war von 1809 bis 1817 der vierte Präsident der Vereinigten Staaten?,James Madison,Politik,,
127,Welches elektrische Tischgerät hat ein rotierendes Flügelrad und erzeugt nicht nur dem Namen nach Wind?,Ventilator,Technik,,
128,Die Kreiszahl Pi lernt man in welchem Schulfach kennen?,Mathematik,Allgemeinwissen,Schnellfrage,100
129,"Die kleinen Kerne einer reifen, handelsüblichen Kiwi haben welche Farbe?",Schwarz,Essen,,
130,Wer war letzter Kaiser von Abessinien und gilt Rastafaris als wiedergekehrter Messias?,Haile Selassie,Geschichte,,
131,Bei welcher Wassersport-Disziplin werden Tore erzielt?,Wasserball,Sport,Frage,100
132,Welche Anstalt wurde früher im deutschen Strafrecht offiziell als Gefängnis bezeichnet?,"Justizvollzugsanstalt, Strafanstalt",Allgemeinwissen,,
133,Welches Tschaikowski-Ballett heißt wie ein Märchen der Gebrüder Grimm?,Dornröschen,Kultur,,
134,Wie heißt die 1952 eingeführte Währung von Laos?,"Kip, Laotischer Kip",Geschichte,,
135,Wie heißt die bevölkerungsreichste Stadt Schleswig-Holsteins?,Kiel,Deutschland,,
136,Wie lautet die offizielle Amtsbezeichnung für den deutschen Regierungschef?,Bundeskanzler(in),Politik,,
137,"Welche ""Füßchen"" lernt man in der Grundschule im Deutschunterricht richtig zu setzen?",Gänsefüßchen,Wörter,,
138,Seit 1821 besteht das Erzbistum München und ...?,Freising,Kultur,,
139,Welche Kinderbuchfigur von Michael Ende heißt eigentlich Prinz Myrrhen?,Jim Knopf,Bücher,,
140,"Überredet man jemanden zu etwas Unsinnigem, dann setzt man ihm redensartlich Flausen in den ...?",Kopf,Wörter,,
141,Welcher Film mit John Travolta löste 1977 die Disco-Welle mit aus?,Saturday Night Fever,Filme,,
142,In der griechischen Mythologie wachsen Prometheus immer wieder Teile welches Organs neu nach?,Leber,Mythologie,,
143,Welcher Fluss entspringt im Riesengebirge und mündet in die Nordsee?,Elbe,Geographie,,
144,Wie nennt man eine Gruppe von Bergen?,"Gebirge, Gebirgskette, Bergkette",Geographie,,
145,In welchem Land sitzen fast 3.000 Abgeordnete im Nationalen Volkskongress?,China,Politik,,
146,In wie vielen Ländern oder Gebieten fährt man auf der linken Straßenseite?,69,Straßenverkehr,Schätzfrage,400
147,"Welche Berühmtheit kam am 2. Oktober 1869 im Fürstentum Porbandar zur Welt, das heute zu Indien gehört?","Mahatma Gandhi, Mohandas Karamchand Gandhi",Geschichte,,
148,"Welches in die Jahre gekommene Kommunikationsgerät kürzt man häufig ""AB"" ab?",Anrufbeantworter,Technik,,
149,Den Massenerhaltungssatz lernt man in welchem Schulfach kennen?,Chemie,Allgemeinwissen,,
150,Durch den Pflanzenfarbstoff Anthocyan haben Heidelbeeren welche Farbe?,Blau,Biologie,,
151,Welche allegorische Frauenfigur ist die Versinnbildlichung der Schweiz?,Helvetia,Allgemeinwissen,,
152,Bei welcher Wassersport-Disziplin fällt man tief?,"Wasserspringen, Turm(-springen), Brett(-springen), Synchronspringen",Sport,,
154,"In welchem Shakespeare-Drama heißt es: ""Ein Pferd! Ein Pferd! Mein Königreich für ein Pferd""?",Richard III.,Literatur,,
155,Der Guaraní ist seit 1943 die Währung welches südamerikanischen Landes?,Paraguay,Geschichte,,
156,Der Müggelsee ist der größte See welcher Großstadt?,Berlin,Deutschland,,
157,Welche Zeile steht losgelöst vom Haupttext am oberen Rand der Seite?,Kopfzeile,Allgemeinwissen,Frage,200
158,Welche Farbe hat Grönland laut Namen?,Grün,Geographie,,
159,"Für welche Spirituose ist die Karibik bekannt, weil sie dort traditionell hergestellt wird?",Rum,Kultur,,
160,Welchem Karim gelang im März 2022 als ältestem Spieler der UEFA-Champions-League-Geschichte ein Hattrick?,Benzema,Sport,,
161,"Welches giftige, stechend riechende Gas besteht aus Molekülen mit drei Wasserstoffatomen und einem Stickstoffatom?",Ammoniak,Chemie,,
162,Wie lautet das Kfz-Kennzeichen für die östlichste Millionenstadt Deutschlands?,B,Straßenverkehr,Schnellfrage,100
163,Wie nennt man die Wohnung eines Dachses?,"Bau, Dachsbau",Tiere,,
164,Das Parlament welches Landes von Großbritannien hat seinen Sitz in Holyrood?,Schottland,Politik,,
165,"Die drei Schichten der menschlichen Haut sind die Epidermis, die Dermis und die ...?","Hypodermis, Unterhaut, Subcutis",Biologie,,
166,"Welches Kirchenoberhaupt führt den Ehrentitel ""Primas von Italien""?","Papst, Bischof von Rom, Papst Franziskus",Allgemeinwissen,,
167,"""Unterleuten"" heißt ein Roman der Schriftstellerin Juli ...?",Zeh,Bücher,,
168,In welchem baltischen Land fanden 2022 die Eiskunstlauf-Europameisterschaften statt?,Estland,Sport,,
169,Welches südamerikanische Land besitzt eine Karibik- und eine Pazifikküste?,Kolumbien,Geographie,,
170,"Welche Tiere sind die einzigen, die man laut Straßenverkehrsordnung vom Fahrrad aus führen darf?",Hunde,Straßenverkehr,,
171,"In welcher der drei Silben des Wortes ""Libyen"" steckt der Buchstabe ""i""?","Erste Silbe, In der ersten Silbe",Wörter,Schnellfrage,100
172,In welcher Landeshauptstadt steht am Rindermarkt mit eindrucksvoller Fassade das Ruffinihaus?,München,Deutschland,,
173,"""Alles ist eins. Außer der 0"" ist eine 2021 erschienene Dokumentation über welchen Club?","Chaos Computer Club, CCC",Informatik,,
174,"Trifft eine Lieferung im Moment des Bedarfs ein, heißt das in der Logistik ""Just in ...""?",Time,Wörter,,
175,Wie wird die freiwillige jährliche Überprüfung eines Autos in einer Werkstatt genannt?,"Inspektion, Jahresinspektion",Straßenverkehr,Frage,200
176,Welches westafrikanische Land ist das bevölkerungsreichste Afrikas?,Nigeria,Geographie,,
177,Welches Land heißt wie ein Kontinent?,Australien,Geographie,,
178,Ein Kaffee Gloria enthält einen Schuss welches französischen Weinbrands?,Cognac,Allgemeinwissen,Frage,300
179,Welchem Robert gelang im März 2022 der früheste Hattrick der UEFA-Champions-League-Geschichte?,Lewandowski,Sport,,
180,"Die Buchstaben ""Md"" stehen im Periodensystem für welches nach einem Wissenschaftler benannte Element?",Mendelevium,Chemie,,
181,Wie lautet das Kfz-Kennzeichen für die südlichste unserer Millionenstädte?,M,Straßenverkehr,Schnellfrage,100
182,Wie heißt die im Gewebe von Pflanzen enthaltene Flüssigkeit?,"Saft, Pflanzensaft, Zellsaft",Biologie,,
183,In welcher Straße in Berlin residiert die Botschaft der Russischen Föderation?,Unter den Linden,Geographie,,
184,Wie lautet der medizinische Fachausdruck für den Hexenschuss?,"Lumbago, Lumbalgie",Biologie,,
185,Wer heilte laut Neuem Testament zwei Blinde durch Handauflegen?,Jesus Christus,Kultur,,
186,"Welcher Stuhl heißt im Englischen ""wheelchair""?","Rollstuhl, Kranken(fahr)stuhl",Sprachen,,
187,Der Schneefernerkopf liegt deutschlandseitig in welchem Bundesland?,Bayern,Deutschland,,
188,Das Mailänder Toleranzedikt wurde im Jahre 313 erlassen von Kaiser Licinius und welchem anderen Kaiser?,Konstantin (I.) (der Große),Geschichte,,
189,Welcher Fußballclub wurde nach 1984 2022 erneut türkischer Meister?,Trabzonspor,Sport,,
190,"Diesel, Super und Kerosin gehören zu den Treib-...?",Stoffen,Straßenverkehr,,
191,"Den Schlagerhit ""Unendlich"" singt Vanessa Mai im Duett mit Andrea ...?",Berg,Musik,,
192,Welches 81 Meter hohe Denkmal befindet sich nördlich von Bad Frankenhausen?,"Kyffhäuser(-Denkmal), Kaiser-Wilhelm-Denkmal",Deutschland,,
193,In welchem europäischen Land teilen sich zwei Kofürsten das Amt des Staatsoberhaupts?,Andorra,Politik,,
194,"Was müssen Kinder ausziehen, damit sie in einer Hüpfburg spielen dürfen?",Schuhe,Allgemeinwissen,,
195,Wie nennt man in der Landwirtschaft die zum Säen vorgesehene Menge von Samenkörnern?,"Saat, Saatgut, Aussaat, Einsaat",Landwirtschaft,,
196,Aus welchem antiken Reich ging das Byzantinische Reich übergangslos hervor?,"Rom, Römisches Reich",Geschichte,,
197,Welche norwegische Fußballerin war Anfang 2022 Rekordtorschützin der UEFA Champions League?,Ada Hegerberg,Sport,,
198,Durch welchen berühmten Canyon in Arizona fließt der Colorado River?,Grand Canyon,Geographie,,
199,"Das Museum ""Uffizien"" in Florenz entstand aus der privaten Kunstsammlung welcher Familie?",Medici,Kunst,,
200,Welche Körperteile zeigt das Wappen in der Staatsflagge von Brunei Darussalam?,"Unterarm, Hand, Hände, Arme",Kultur,,
201,"Welche Oscar-Preisträgerin spielt im Actionthriller ""Bullet Train"" die Auftraggeberin Maria Beetle?",Sandra Bullock,Hollywood,,
202,"Welche Hauptfigur aus ""Der Herr der Ringe"" hat den Beinamen Graurock?",Gandalf,Filme,,
203,Als was für einen Laden bezeichnet man redensartlich einen schlecht geführten Betrieb?,Saftladen,Wörter,,
204,An welches EU-Land grenzt Schleswig-Holstein?,Dänemark,Geographie,,
205,Das UNESCO-Welterbe Markgräfliches Opernhaus steht in welcher Stadt?,Bayreuth,Kultur,,
206,"Welches Dokument wird auch ""der letzte Wille"" genannt?",Testament,Allgemeinwissen,,
207,In welchem Bundesland liegt das Harz-Städtchen Quedlinburg?,Sachsen-Anhalt,Deutschland,,
208,Wie wurde Erzherzogin Maria Antonia von Österreich nach ihrer Hochzeit  im Jahr 1770 genannt?,Marie Antoinette,Geschichte,,
209,Welches Team um Superstar Stephen Curry wurde 2022 zum vierten Mal binnen acht Jahren NBA-Champion?,Golden State Warriors,Sport,,
210,Fotovoltaik-Anlagen wandeln Sonnenlicht in welche Energie um?,"Strom, Elektrische Energie",Technik,,
211,"Das Debütalbum ""In meinem Kopf"" veröffentlichte 2022 ein Sohn des Schlagersängers Matthias ...?",Reim,Musik,,
212,"Im Jahr 1238 begann Sultan Muhammad I. in Granada mit dem Bau welcher ""roten Burg""?",Alhambra,Geschichte,Frage,500
,,,,,
,,,,,
213,Welches Land bezeichnet sich selbst als Haschemitisches Königreich?,"Jordanien, Haschemitisches Königreich Jordanien",,,
214,Welchen Körperteil berührt die Queen beim Ritterschlag mit der flachen Klinge des Schwerts?,Schulter,,,
215,"Wie nennt man in der Landwirtschaft einen Acker, der nicht bebaut wird, damit sich der Boden erholt?","Brachland, Brache",,,
216,Der Investiturstreit des 11. Jahrhunderts war ein Konflikt zwischen dem deutschen Kaiser und dem ...?,"Papst (Gregor VII.), Heilgen Stuhl, Vatikan, Oberhaupt der katholischen Kirche",,,
217,Welche Australierin gewann 2022 bei den Australian Open das Tennis-Finale der Damen?,Ashleigh Barty,,,
218,"Wie heißt der einzige US-Bundesstaat, der nicht auf dem nordamerikanischen Festland liegt?",Hawaii,,,
219,"Das Ölgemälde ""Porträt von Jacqueline"" stellt die zweite Ehefrau welches weltberühmten Malers dar?",Pablo Picasso,,,
220,Was für ein Fortbewegungsmittel ist auf dem Stadtwappen von Paris zu sehen?,"Schiff, Segelschiff",,,
221,Mit Vor- und Nachteilen ist etwas redensartlich zugleich Fluch und ...?,Segen,,,
222,Die wichtigsten Werkzeuge zum Frisieren sind Schere und welches Instrument mit Zinken?,Kamm,,,
223,"Welche Rolle spielt Sean Connery im Film ""Goldfinger""?","James Bond, Geheimagent",,,
224,Die zum Weltkulturerbe zählende Villa Tugendhat entwarf Ludwig Mies ...?,van der Rohe,,,
225,Eines der berühmtesten Paare der Bibel bilden Eva und ...?,Adam,,,
226,"Welche Ilka erfand die Kunstfigur ""Cindy aus Marzahn""?",Bessin,,,
227,Ihren Ehemann bezeichnen einige Frauen scherzhaft als ihren Götter-...?,Gatten,,,
228,Welchem Königshaus entstammte Königin Elisabeth I.?,Tudor,,,
229,Das höchste Gebäude der USA steht in welcher Stadt?,New York City,,,
230,"Mit ""You can dance, you can jive"" beginnt welcher ABBA-Song?",Dancing Queen,,,
231,Von welchem Fisch stammt der luxuriöse Beluga-Kaviar?,"Stör, Beluga-Stör, Europäischer Hausen",,,
232,"Wie lautet das Fremdwort für ""Berührung""?",Kontakt,,,
233,Ein Lulatsch ist oft schlaksig und immer ganz besonders ...?,"groß, lang",,,
234,"Der Ausdruck ""la dolce vita"" geht zurück auf einen Film des Regisseurs Federico ...?",Fellini,,,
235,In Gestalt welches Tieres entführt in der griechischen Mythologie Zeus die Prinzessin Europa?,Stier,,,
236,Wie heißt der höchste Berg des gesamten amerikanischen Kontinents?,"Aconcagua, Cerro Aconcagua",,,
237,Welche Farbe haben pflückreife Wald-Himbeeren?,Rot,,,
238,Wie nennt man schlechtes Latein und auch den Fachjargon der Gastronomie?,Küchenlatein,,,
239,"""Was im Verborgenen ruht"" heißt ein 2022 erschienener Inspector-Lynley-Krimi der Bestseller-Autorin Elizabeth ...?","George, Elizabeth George",,,
240,"Wer eine schwache Leistung abliefert, der hat sich redensartlich nicht mit Ruhm ...?",bekleckert,,,
241,Welche elastischen Hohlkörper sind dank Helium auf Feierlichkeiten farbige Hingucker?,"Ballons, Luftballons",,,
242,"Welche Rolle spielt Harrison Ford in den ""Star Wars""-Filmen?","Han Solo, Raumschiffkapitän",,,
243,Als bedeutendster Baumeister des deutschen Klassizismus gilt Karl Friedrich ...?,Schinkel,,,
244,"Welcher Messias wird auch ""der Nazarener"" genannt?",Jesus (Christus),,,
245,"Welche Sylvie moderiert seit 2021 die Datingshow ""Love Island""?",Meis,,,
246,"Statt ""zuletzt, aber nicht am unwichtigsten"" sagt man meist knapp: ""last but not ...""?",least,,,
247,In welcher TV-Show stellten fünf Schweizer einen fast neun Tonnen schweren Lkw auf vier Biergläser?,"Wetten, dass..?",,,
248,Welche Wache ist ein anderes Wort für das Spritzenhaus?,Feuerwache,,,
249,Englands Rekord für die meisten Einsätze als Feldspieler hält mit 120 Fußballländerspielen Wayne ...?,Rooney,,,
250,"Ein Sportfilmklassiker mit Al Pacino heißt ""An jedem verdammten ...""?",Sonntag,,,
251,Welcher Wal versteckt sich im Namen Mallorca?,Orca,,,
252,Der Hollywood-Regisseur Paul Verhoeven wurde in welchem Land geboren?,"Niederlande, Holland",,,
253,"Wie heißt der Vogelfänger, der in Mozarts ""Zauberflöte"" für gewöhnlich ein Federkostüm trägt?",Papageno,,,
254,Wer ist in der altnordischen Mythologie Königin der Götter und Menschen?,"Frigg, Freyja",,,
255,In welchem Land Großbritanniens liegt der viel besungene See Loch Lomond?,Schottland,,,
256,Welche Leitungen können von Legionellen betroffen sein?,Wasserleitungen,,,
257,2022 wurde welches Fußballteam der Männer Meister der italienischen Serie A?,AC Mailand,,,
258,Welche musikalische Familie lebte in den 90er-Jahren auf einem Hausboot in Köln?,Kelly Family,,,
259,"Stellt man dem Wort ""Ruder"" ein ""B"" voran, wird daraus welcher Familienangehörige?",Bruder,,,
260,"Wie wird ein durch ungeschlechtliche Vermehrung entstandenes, erbgleiches Tier genannt?",Klon,,,
261,Marcelo Rebelo de Sousa wurde 2016 zum Staatspräsidenten welches Landes gewählt?,Portugal,,,
